"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Number of people","Concentration"
"06","California","06007","Butte","2009","36%","","70,414","Concentration: (not-detected)"
"06","California","06007","Butte","2010","69%","","133,981","Concentration: (0-<=10)"
"06","California","06007","Butte","2010","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2010","31%","","61,317","Concentration: (not-detected)"
"06","California","06007","Butte","2011","83%","","161,755","Concentration: (0-<=10)"
"06","California","06007","Butte","2011","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2011","17%","","33,332","Concentration: (not-detected)"
"06","California","06007","Butte","2012","82%","","148,943","Concentration: (0-<=10)"
"06","California","06007","Butte","2012","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2012","19%","","33,798","Concentration: (not-detected)"
"06","California","06007","Butte","2013","75%","","135,299","Concentration: (0-<=10)"
"06","California","06007","Butte","2013","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2013","25%","","44,821","Concentration: (not-detected)"
"06","California","06007","Butte","2014","80%","","145,009","Concentration: (0-<=10)"
"06","California","06007","Butte","2014","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2014","20%","","35,232","Concentration: (not-detected)"
"06","California","06007","Butte","2015","64%","","108,314","Concentration: (0-<=10)"
"06","California","06007","Butte","2015","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2015","36%","","60,081","Concentration: (not-detected)"
"06","California","06007","Butte","2016","75%","","135,238","Concentration: (0-<=10)"
"06","California","06007","Butte","2016","0%","","230","Concentration: (>10)"
"06","California","06007","Butte","2016","25%","","44,339","Concentration: (not-detected)"
"06","California","06007","Butte","2017","63%","","113,175","Concentration: (0-<=10)"
"06","California","06007","Butte","2017","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2017","37%","","65,521","Concentration: (not-detected)"
"06","California","06007","Butte","2018","66%","","124,618","Concentration: (0-<=10)"
"06","California","06007","Butte","2018","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2018","34%","","64,926","Concentration: (not-detected)"
"06","California","06007","Butte","2019","68%","","111,974","Concentration: (0-<=10)"
"06","California","06007","Butte","2019","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2019","33%","","53,922","Concentration: (not-detected)"
"06","California","06007","Butte","2020","72%","","118,139","Concentration: (0-<=10)"
"06","California","06007","Butte","2020","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2020","28%","","46,164","Concentration: (not-detected)"
"06","California","06009","Calaveras","1999","46%","","22,105","Concentration: (0-<=10)"
"06","California","06009","Calaveras","1999","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","1999","54%","","26,247","Concentration: (not-detected)"
"06","California","06009","Calaveras","2000","41%","","17,805","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2000","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2000","59%","","26,148","Concentration: (not-detected)"
"06","California","06009","Calaveras","2001","25%","","11,170","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2001","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2001","75%","","32,783","Concentration: (not-detected)"
"06","California","06009","Calaveras","2002","32%","","15,595","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2002","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2002","68%","","32,882","Concentration: (not-detected)"
"06","California","06009","Calaveras","2003","46%","","22,328","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2003","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2003","54%","","26,251","Concentration: (not-detected)"
"06","California","06009","Calaveras","2004","21%","","11,193","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2004","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2004","79%","","40,951","Concentration: (not-detected)"
"06","California","06009","Calaveras","2005","49%","","25,696","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2005","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2005","51%","","26,273","Concentration: (not-detected)"
"06","California","06009","Calaveras","2006","50%","","25,893","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2006","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2006","50%","","26,226","Concentration: (not-detected)"
"06","California","06009","Calaveras","2007","79%","","25,143","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2007","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2007","21%","","6,516","Concentration: (not-detected)"
"06","California","06009","Calaveras","2008","50%","","26,043","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2008","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2008","50%","","26,446","Concentration: (not-detected)"
"06","California","06009","Calaveras","2009","35%","","18,278","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2009","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2009","65%","","33,991","Concentration: (not-detected)"
"06","California","06009","Calaveras","2010","38%","","18,027","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2010","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2010","62%","","29,864","Concentration: (not-detected)"
"06","California","06009","Calaveras","2011","50%","","25,893","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2011","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2011","50%","","26,118","Concentration: (not-detected)"
"06","California","06009","Calaveras","2012","38%","","18,402","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2012","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2012","62%","","29,567","Concentration: (not-detected)"
