"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Number of people","Concentration"
"06","California","06005","Amador","2018","100%","","7,185","Concentration: (not-detected)"
"06","California","06005","Amador","2019","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2019","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2019","100%","","15,773","Concentration: (not-detected)"
"06","California","06005","Amador","2020","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2020","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2020","100%","","15,990","Concentration: (not-detected)"
"06","California","06007","Butte","1999","1%","","1,805","Concentration: (0-<=10)"
"06","California","06007","Butte","1999","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","1999","99%","","137,985","Concentration: (not-detected)"
"06","California","06007","Butte","2000","0%","","0","Concentration: (0-<=10)"
"06","California","06007","Butte","2000","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2000","100%","","61,274","Concentration: (not-detected)"
"06","California","06007","Butte","2001","12%","","10,063","Concentration: (0-<=10)"
"06","California","06007","Butte","2001","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2001","88%","","72,441","Concentration: (not-detected)"
"06","California","06007","Butte","2002","44%","","27,731","Concentration: (0-<=10)"
"06","California","06007","Butte","2002","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2002","56%","","34,620","Concentration: (not-detected)"
"06","California","06007","Butte","2003","1%","","256","Concentration: (0-<=10)"
"06","California","06007","Butte","2003","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2003","99%","","38,572","Concentration: (not-detected)"
"06","California","06007","Butte","2004","3%","","1,558","Concentration: (0-<=10)"
"06","California","06007","Butte","2004","11%","","6,403","Concentration: (>10)"
"06","California","06007","Butte","2004","86%","","48,750","Concentration: (not-detected)"
"06","California","06007","Butte","2005","0%","","10","Concentration: (0-<=10)"
"06","California","06007","Butte","2005","14%","","6,435","Concentration: (>10)"
"06","California","06007","Butte","2005","86%","","38,586","Concentration: (not-detected)"
"06","California","06007","Butte","2006","0%","","20","Concentration: (0-<=10)"
"06","California","06007","Butte","2006","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2006","100%","","53,699","Concentration: (not-detected)"
"06","California","06007","Butte","2007","4%","","1,805","Concentration: (0-<=10)"
"06","California","06007","Butte","2007","15%","","6,403","Concentration: (>10)"
"06","California","06007","Butte","2007","81%","","34,591","Concentration: (not-detected)"
"06","California","06007","Butte","2008","71%","","100,276","Concentration: (0-<=10)"
"06","California","06007","Butte","2008","0%","","32","Concentration: (>10)"
"06","California","06007","Butte","2008","29%","","41,416","Concentration: (not-detected)"
"06","California","06007","Butte","2009","0%","","20","Concentration: (0-<=10)"
"06","California","06007","Butte","2009","1%","","212","Concentration: (>10)"
"06","California","06007","Butte","2009","99%","","23,318","Concentration: (not-detected)"
"06","California","06007","Butte","2010","33%","","6,583","Concentration: (0-<=10)"
"06","California","06007","Butte","2010","0%","","32","Concentration: (>10)"
"06","California","06007","Butte","2010","66%","","13,078","Concentration: (not-detected)"
"06","California","06007","Butte","2011","1%","","1,995","Concentration: (0-<=10)"
"06","California","06007","Butte","2011","0%","","32","Concentration: (>10)"
"06","California","06007","Butte","2011","99%","","174,970","Concentration: (not-detected)"
"06","California","06007","Butte","2012","2%","","180","Concentration: (0-<=10)"
"06","California","06007","Butte","2012","0%","","52","Concentration: (>10)"
"06","California","06007","Butte","2012","98%","","10,530","Concentration: (not-detected)"
